week,sku,units_sold
2026-W25,PVC-001,27
2026-W26,PVC-001,31
2026-W27,PVC-001,28
2026-W28,PVC-001,30
2026-W29,PVC-001,26
2026-W30,PVC-001,33
2026-W31,PVC-001,29
2026-W32,PVC-001,28
2026-W25,PEX-002,2
2026-W26,PEX-002,4
2026-W27,PEX-002,3
2026-W28,PEX-002,3
2026-W29,PEX-002,2
2026-W30,PEX-002,4
2026-W31,PEX-002,3
2026-W32,PEX-002,3
2026-W25,VALVE-003,2
2026-W26,VALVE-003,1
2026-W27,VALVE-003,3
2026-W28,VALVE-003,2
2026-W29,VALVE-003,2
2026-W30,VALVE-003,1
2026-W31,VALVE-003,2
2026-W32,VALVE-003,3
2026-W25,FAUCET-004,0
2026-W26,FAUCET-004,1
2026-W27,FAUCET-004,0
2026-W28,FAUCET-004,1
2026-W29,FAUCET-004,0
2026-W30,FAUCET-004,0
2026-W31,FAUCET-004,1
2026-W32,FAUCET-004,1
2026-W25,WH-005,1
2026-W26,WH-005,2
2026-W27,WH-005,1
2026-W28,WH-005,2
2026-W29,WH-005,1
2026-W30,WH-005,2
2026-W31,WH-005,1
2026-W32,WH-005,2
2026-W25,PUMP-006,1
2026-W26,PUMP-006,1
2026-W27,PUMP-006,0
2026-W28,PUMP-006,2
2026-W29,PUMP-006,1
2026-W30,PUMP-006,1
2026-W31,PUMP-006,1
2026-W32,PUMP-006,1
